name,display_name,category,diet_type,is_allergen,allergen_type,is_jain_compatible,is_vegan,common_unit,is_common,is_active,description,is_updated,last_update_date,is_review
turmeric,Turmeric (Haldi),spice,veg,N,,Y,Y,tsp,Y,Y,Base spice in almost all Indian cooking. Anti-inflammatory. Yellow colour.,N,,N
cumin_seeds,Cumin Seeds (Jeera),spice,veg,N,,Y,Y,tsp,Y,Y,Whole or ground. Tempering staple. Earthy warm flavour.,N,,N
coriander_powder,Coriander Powder (Dhaniya),spice,veg,N,,Y,Y,tsp,Y,Y,Ground coriander seeds. Mild citrusy warmth. Used in most gravies.,N,,N
red_chilli_powder,Red Chilli Powder (Lal Mirch),spice,veg,N,,Y,Y,tsp,Y,Y,Heat source. Kashmiri chilli for colour without heat. Regular for heat.,N,,N
garam_masala,Garam Masala,spice,veg,N,,Y,Y,tsp,Y,Y,Warm spice blend. Cardamom cinnamon clove pepper bay leaf. Finishing spice.,N,,N
black_pepper,Black Pepper (Kali Mirch),spice,veg,N,,Y,Y,tsp,Y,Y,Whole or ground. Sharp heat different from chilli. Common in South Indian.,N,,N
cardamom_green,Green Cardamom (Elaichi),spice,veg,N,,Y,Y,pieces,Y,Y,Aromatic pods. Used in both savoury and sweet. Chai essential.,N,,N
cardamom_black,Black Cardamom (Badi Elaichi),spice,veg,N,,Y,Y,pieces,N,Y,Smoky aromatic. Used in biryanis and meat curries and garam masala.,N,,N
cinnamon,Cinnamon (Dalchini),spice,veg,N,,Y,Y,pieces,Y,Y,Sweet warm bark. Biryani pulao chai desserts.,N,,N
clove,Clove (Laung),spice,veg,N,,Y,Y,pieces,Y,Y,Intense aromatic. Used whole in rice dishes gravies chai.,N,,N
bay_leaf,Bay Leaf (Tej Patta),spice,veg,N,,Y,Y,pieces,Y,Y,Aromatic leaf for tempering. Rice dal curries. Removed before serving.,N,,N
fennel_seeds,Fennel Seeds (Saunf),spice,veg,N,,Y,Y,tsp,N,Y,Sweet anise flavour. Kashmiri cuisine staple. Also mouth freshener.,N,,N
fenugreek_seeds,Fenugreek Seeds (Methi Dana),spice,veg,N,,Y,Y,tsp,N,Y,Slightly bitter. Used in tempering and pickles.,N,,N
kasuri_methi,Kasuri Methi (Dried Fenugreek),spice,veg,N,,Y,Y,tsp,N,Y,Dried fenugreek leaves. Finishing flavour for butter chicken and dal makhani.,N,,N
mustard_seeds,Mustard Seeds (Rai/Sarson),spice,veg,Y,mustard,Y,Y,tsp,Y,Y,Tempering staple in South Indian and Bengali cooking. Pungent when popped.,N,,N
asafoetida,Asafoetida (Hing),spice,veg,N,,Y,Y,pinch,Y,Y,Pungent resin. Jain/veg cooking substitute for onion-garlic. Tiny pinch goes far.,N,,N
nigella_seeds,Nigella Seeds (Kalonji),spice,veg,N,,Y,Y,tsp,N,Y,Black onion seeds. Used in naan pickles Bengali panch phoron.,N,,N
ajwain,Ajwain (Carom Seeds),spice,veg,N,,Y,Y,tsp,N,Y,Thymol flavour. Parathas pakoras digestive aid. Strong — use sparingly.,N,,N
amchur,Amchur (Dry Mango Powder),spice,veg,N,,Y,Y,tsp,N,Y,Tangy souring agent. Chaat chole dry sabzis. Alternative to lemon.,N,,N
chaat_masala,Chaat Masala,spice,veg,N,,Y,Y,tsp,N,Y,Tangy spice blend. Amchur black salt cumin. Chaat fruits snacks.,N,,N
kashmiri_chilli,Kashmiri Red Chilli,spice,veg,N,,Y,Y,tsp,N,Y,Bright red colour with mild heat. Rogan josh tandoori marinades.,N,,N
nutmeg,Nutmeg (Jaiphal),spice,veg,N,,Y,Y,pinch,N,Y,Warm sweet spice. Used sparingly in garam masala and Mughlai dishes.,N,,N
mace,Mace (Javitri),spice,veg,N,,Y,Y,pinch,N,Y,Outer covering of nutmeg. Delicate warm flavour. Awadhi and Mughlai cuisine.,N,,N
star_anise,Star Anise (Chakri Phool),spice,veg,N,,Y,Y,pieces,N,Y,Liquorice-like. Chettinad cuisine biryani Chinese cooking.,N,,N
saffron,Saffron (Kesar),spice,veg,N,,Y,Y,pinch,N,Y,Most expensive spice. Biryani kheer Kashmiri dishes. Colour and aroma.,N,,N
poppy_seeds,Poppy Seeds (Khus Khus),spice,veg,N,,Y,Y,tsp,N,Y,White seeds. Bengali curries Mughlai gravies thickening agent.,N,,N
dry_red_chilli,Dry Red Chilli (Sukhi Lal Mirch),spice,veg,N,,Y,Y,pieces,Y,Y,Whole dried chillies. Tempering chutneys South Indian sambar.,N,,N
black_salt,Black Salt (Kala Namak),spice,veg,N,,Y,Y,tsp,N,Y,Sulphurous flavour. Chaat raita vegan egg substitute flavouring.,N,,N
tamarind,Tamarind (Imli),spice,veg,N,,Y,Y,grams,N,Y,Sour pulp. Sambar rasam chutneys chaat. South Indian and street food essential.,N,,N
kokum,Kokum,spice,veg,N,,Y,Y,pieces,N,Y,Sour dried fruit. Konkani and Goan souring agent. Sol kadhi.,N,,N
curry_powder,Curry Powder,spice,veg,N,,Y,Y,tsp,N,Y,Generic spice blend. More common in Anglo-Indian and continental cooking.,N,,N
panch_phoron,Panch Phoron,spice,veg,N,,Y,Y,tsp,N,Y,Bengali five-spice mix. Cumin nigella fennel fenugreek mustard.,N,,N
sambar_powder,Sambar Powder,spice,veg,N,,Y,Y,tsp,N,Y,South Indian spice blend for sambar.,N,,N
anardana,Anardana (Pomegranate Seeds),spice,veg,N,,Y,Y,tsp,N,Y,Dried pomegranate seeds. Tangy. Chole and Punjabi dishes.,N,,N
salt,Salt (Namak),spice,veg,N,,Y,Y,tsp,Y,Y,Universal seasoning. Present in virtually every dish.,N,,N
chilli_flakes,Chilli Flakes,spice,veg,N,,Y,Y,tsp,N,Y,Pizza pasta Indo-Chinese marinades. Mild heat with texture.,N,,N
onion,Onion (Pyaaz),vegetable,veg,N,,N,Y,grams,Y,Y,Base of most Indian gravies. Not Jain-compatible. Used raw in salads.,N,,N
tomato,Tomato (Tamatar),vegetable,veg,N,,Y,Y,pieces,Y,Y,Gravy base with onion. Used in most North and South Indian curries.,N,,N
potato,Potato (Aloo),vegetable,veg,N,,N,Y,grams,Y,Y,Most versatile Indian vegetable. Root veg — not Jain-compatible.,N,,N
cauliflower,Cauliflower (Gobhi),vegetable,veg,N,,Y,Y,grams,Y,Y,Gobi aloo gobi paratha gobi manchurian. Winter staple.,N,,N
green_peas,Green Peas (Matar),vegetable,veg,N,,Y,Y,grams,Y,Y,Matar paneer aloo matar pulao. Seasonal but frozen available year-round.,N,,N
okra,Okra (Bhindi),vegetable,veg,N,,Y,Y,grams,Y,Y,Bhindi masala kurkuri bhindi. Slimy when cut — dry cooking preferred.,N,,N
eggplant,Eggplant (Baingan),vegetable,veg,N,,Y,Y,grams,Y,Y,Baingan bharta bharli vangi brinjal curry. Versatile.,N,,N
capsicum,Capsicum (Shimla Mirch),vegetable,veg,N,,Y,Y,pieces,N,Y,Bell pepper. Stuffed stir-fried Indo-Chinese paneer tikka.,N,,N
green_chilli,Green Chilli (Hari Mirch),vegetable,veg,N,,Y,Y,pieces,Y,Y,Fresh heat source. Tempering garnish chutneys. Used in almost everything.,N,,N
bottle_gourd,Bottle Gourd (Lauki/Dudhi),vegetable,veg,N,,Y,Y,grams,N,Y,Mild flavour. Lauki ki sabzi kofta halwa. Light and digestible.,N,,N
ridge_gourd,Ridge Gourd (Turai/Tori),vegetable,veg,N,,Y,Y,grams,N,Y,Light summer vegetable. Stir-fried or in dal.,N,,N
bitter_gourd,Bitter Gourd (Karela),vegetable,veg,N,,Y,Y,grams,N,Y,Bitter flavour. Karela sabzi chips. Health food.,N,,N
drumstick,Drumstick (Sahjan/Moringa),vegetable,veg,N,,Y,Y,pieces,N,Y,Long pods. Sambar essential. Also used in curries. Highly nutritious.,N,,N
raw_banana,Raw Banana (Kaccha Kela),vegetable,veg,N,,Y,Y,pieces,N,Y,Unripe banana used as vegetable. Chips sabzi South Indian curries.,N,,N
jackfruit_raw,Raw Jackfruit (Kathal),vegetable,veg,N,,Y,Y,grams,N,Y,Meat substitute texture. Kathal ki sabzi biryani. East and South India.,N,,N
pumpkin,Pumpkin (Kaddu),vegetable,veg,N,,Y,Y,grams,N,Y,Kaddu ki sabzi halwa. Mildly sweet. North and East Indian staple.,N,,N
cabbage,Cabbage (Patta Gobhi),vegetable,veg,N,,Y,Y,grams,N,Y,Stir-fry sabzi coleslaw manchurian. Year-round availability.,N,,N
cucumber,Cucumber (Kheera),vegetable,veg,N,,Y,Y,pieces,N,Y,Raita salad sandwich. Cooling. Rarely cooked in Indian cuisine.,N,,N
radish,Radish (Mooli),vegetable,veg,N,,N,Y,grams,N,Y,Root vegetable — not Jain. Mooli paratha salad pickles.,N,,N
carrot,Carrot (Gajar),vegetable,veg,N,,N,Y,grams,N,Y,Root vegetable — not Jain. Gajar halwa mixed veg salad pickles.,N,,N
beetroot,Beetroot (Chukandar),vegetable,veg,N,,N,Y,grams,N,Y,Root vegetable — not Jain. South Indian poriyal halwa salad.,N,,N
sweet_potato,Sweet Potato (Shakarkandi),vegetable,veg,N,,N,Y,grams,N,Y,Root vegetable — not Jain. Chaat roasted sabzi. Winter street food.,N,,N
turnip,Turnip (Shalgam),vegetable,veg,N,,N,Y,grams,N,Y,Root vegetable — not Jain. Shalgam ki sabzi pickles. Winter vegetable.,N,,N
mushroom,Mushroom (Khumbi),vegetable,veg,N,,N,Y,grams,N,Y,Not Jain-compatible (fungus). Mushroom masala biryani soup stir-fry.,N,,N
corn,Corn (Makka/Bhutta),vegetable,veg,N,,Y,Y,pieces,N,Y,Makki ki roti bhutta corn soup. Monsoon street food.,N,,N
french_beans,French Beans (Beans),vegetable,veg,N,,Y,Y,grams,N,Y,Stir-fry poriyal mixed veg. Year-round availability.,N,,N
broccoli,Broccoli,vegetable,veg,N,,Y,Y,grams,N,Y,Stir-fry soup salad. Growing in urban Indian kitchens.,N,,N
baby_corn,Baby Corn,vegetable,veg,N,,Y,Y,grams,N,Y,Indo-Chinese dishes stir-fry manchurian. Restaurant staple.,N,,N
spring_onion,Spring Onion (Hara Pyaaz),vegetable,veg,N,,N,Y,bunch,N,Y,Garnish stir-fry Indo-Chinese. Not Jain (onion family).,N,,N
spinach,Spinach (Palak),leafy_green,veg,N,,Y,Y,bunch,Y,Y,Palak paneer palak dal saag. Iron-rich. Year-round.,N,,N
fenugreek_leaves,Fenugreek Leaves (Methi),leafy_green,veg,N,,Y,Y,bunch,N,Y,Methi paratha methi sabzi methi chicken. Slightly bitter aromatic.,N,,N
mustard_greens,Mustard Greens (Sarson),leafy_green,veg,N,,Y,Y,bunch,N,Y,Sarson ka saag. Winter Punjabi staple. Paired with makki ki roti.,N,,N
amaranth_leaves,Amaranth Leaves (Chaulai),leafy_green,veg,N,,Y,Y,bunch,N,Y,Chaulai ki sabzi. Nutritious. Common in UP Bihar Maharashtra.,N,,N
curry_leaves,Curry Leaves (Kadi Patta),herb_aromatic,veg,N,,Y,Y,leaves,Y,Y,Tempering essential in South Indian cooking. Sambhar rasam chutney.,N,,N
coriander_leaves,Coriander Leaves (Dhaniya Patti),herb_aromatic,veg,N,,Y,Y,bunch,Y,Y,Most used garnish in Indian cooking. Chutneys curries rice dishes.,N,,N
mint_leaves,Mint Leaves (Pudina),herb_aromatic,veg,N,,Y,Y,bunch,N,Y,Green chutney biryani raita cooling drinks. Fresh aromatic herb.,N,,N
ginger,Ginger (Adrak),herb_aromatic,veg,N,,N,Y,grams,Y,Y,Root — not Jain. Base paste with garlic. Chai gravies marinades.,N,,N
garlic,Garlic (Lahsun),herb_aromatic,veg,N,,N,Y,grams,Y,Y,Not Jain-compatible. Ginger-garlic paste base. Most non-Jain Indian cooking.,N,,N
lemongrass,Lemongrass,herb_aromatic,veg,N,,Y,Y,pieces,N,Y,Thai curries soups teas. Growing in Indian fusion cooking.,N,,N
oregano,Oregano,herb_aromatic,veg,N,,Y,Y,tsp,N,Y,Pizza pasta Italian seasoning. Common in urban Indian kitchens.,N,,N
paan_leaves,Paan Leaves (Betel Leaf),herb_aromatic,veg,N,,Y,Y,pieces,N,Y,Paan paan-flavoured kulfi paan shots. Cultural significance.,N,,N
banana_leaf,Banana Leaf,herb_aromatic,veg,N,,Y,Y,pieces,N,Y,Serving plate in South India. Also used to wrap and steam food.,N,,N
toor_dal,Toor Dal (Arhar),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Most common dal in India. Sambar dal fry dal tadka.,N,,N
chana_dal,Chana Dal (Split Chickpea),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Chana dal fry puran poli filling kadhi pakora base. Nutty flavour.,N,,N
moong_dal,Moong Dal (Split Green Gram),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Light and easy to digest. Moong dal tadka khichdi cheela halwa.,N,,N
urad_dal,Urad Dal (Black Gram),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Dal makhani idli-dosa batter medu vada. Creamy texture when cooked.,N,,N
masoor_dal,Masoor Dal (Red Lentil),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Quick-cooking. Everyday dal in North and East India.,N,,N
chickpeas,Chickpeas (Chole/Kabuli Chana),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Chole bhature chana masala hummus chaat. Protein-rich.,N,,N
kidney_beans,Kidney Beans (Rajma),lentil_legume,veg,N,,Y,Y,grams,Y,Y,Rajma chawal. North Indian comfort food. Must be pressure-cooked.,N,,N
black_eyed_peas,Black-Eyed Peas (Lobia),lentil_legume,veg,N,,Y,Y,grams,N,Y,Lobia curry salad. Common in Punjabi and South Indian cooking.,N,,N
green_gram_whole,Green Gram Whole (Sabut Moong),lentil_legume,veg,N,,Y,Y,grams,N,Y,Sprouted moong salad sabut moong dal. High protein.,N,,N
black_chickpeas,Black Chickpeas (Kala Chana),lentil_legume,veg,N,,Y,Y,grams,N,Y,Chana chaat kala chana curry. More earthy than kabuli chana.,N,,N
val_dal,Val Dal (Field Bean),lentil_legume,veg,N,,Y,Y,grams,N,Y,Gujarati and Maharashtrian dal. Usal amti.,N,,N
moth_beans,Moth Beans (Matki),lentil_legume,veg,N,,Y,Y,grams,N,Y,Misal pav base sprouted salad. Maharashtrian staple.,N,,N
horse_gram,Horse Gram (Kulthi),lentil_legume,veg,N,,Y,Y,grams,N,Y,South Indian rasam Maharashtrian usal. High protein earthy.,N,,N
