canonical_name,synonym,language,disambiguation_note,is_active,is_updated,last_update_date,is_review
Pani Puri,Gol Gappa,hindi,Delhi/North India name,Y,N,,Y
Pani Puri,Puchka,bengali,Kolkata name,Y,N,,Y
Pani Puri,Gupchup,hindi,Jharkhand/Odisha name,Y,N,,Y
Pani Puri,Phulki,hindi,Rajasthan name,Y,N,,Y
Samosa,Singara,bengali,Bengali name for samosa,Y,N,,Y
Poha,Chivda,marathi,Maharashtrian name variant,Y,N,,Y
Poha,Aval,tamil,South Indian name for flattened rice,Y,N,,Y
Poha,Avalakki,kannada,Karnataka name,Y,N,,Y
Dosa,Dosai,tamil,Tamil formal name,Y,N,,Y
Dosa,Dose,kannada,Karnataka name,Y,N,,Y
Dosa,Dosa,hindi,Pan-India standard,Y,N,,Y
Idli,Idly,english,Alternate English spelling,Y,N,,Y
Masala Dosa,Masale Dose,kannada,Karnataka name,Y,N,,Y
Medu Vada,Ulundu Vadai,tamil,Tamil name,Y,N,,Y
Medu Vada,Garelu,telugu,Andhra/Telangana name,Y,N,,Y
Sambar,Sambhar,english,Alternate spelling,Y,N,,Y
Sambar,Sambar,hindi,Standard Hindi,Y,N,,Y
Rasam,Chaaru,telugu,Telugu name,Y,N,,Y
Rasam,Saaru,kannada,Karnataka name,Y,N,,Y
Curd Rice,Thayir Sadam,tamil,Tamil name,Y,N,,Y
Curd Rice,Dahi Chawal,hindi,Hindi name,Y,N,,Y
Curd Rice,Mosaru Anna,kannada,Karnataka name,Y,N,,Y
Chaat Papdi,Papdi Chaat,hindi,Alternate word order,Y,N,,Y
Dahi Bhalla,Dahi Vada,hindi,South/West India name,Y,N,,Y
Dahi Bhalla,Thayir Vadai,tamil,Tamil name,Y,N,,Y
Paratha,Parantha,hindi,Alternate spelling,Y,N,,Y
Paratha,Parotta,tamil,South Indian layered bread - different dish,Y,N,,Y
Phulka,Roti,hindi,Interchangeable in North India,Y,N,,Y
Phulka,Chapati,hindi,Alternate name,Y,N,,Y
Naan,Nan,english,Alternate spelling,Y,N,,Y
Jalebi,Jilapi,bengali,Bengali name,Y,N,,Y
Jalebi,Jilebi,kannada,Karnataka name,Y,N,,Y
Gulab Jamun,Gulab Jamoon,english,Alternate spelling,Y,N,,Y
Rasgulla,Rosogolla,bengali,Bengali original name,Y,N,,Y
Kheer,Payasam,tamil,South Indian name,Y,N,,Y
Kheer,Payesh,bengali,Bengali name,Y,N,,Y
Kheer,Khir,hindi,Alternate spelling,Y,N,,Y
Biryani,Biriyani,tamil,South Indian spelling,Y,N,,Y
Pulao,Pilaf,english,English name,Y,N,,Y
Pulao,Pulav,marathi,Marathi name,Y,N,,Y
Chole,Chana Masala,hindi,Alternate name,Y,N,,Y
Chole,Chhole,hindi,Alternate spelling,Y,N,,Y
Rajma,Rajma Masala,hindi,Full name,Y,N,,Y
Uttapam,Uthappam,english,Alternate spelling,Y,N,,Y
Uttapam,Uttapa,kannada,Karnataka name,Y,N,,Y
Upma,Uppittu,kannada,Karnataka name,Y,N,,Y
Upma,Uppuma,tamil,Tamil name,Y,N,,Y
Vada Pav,Wada Pav,marathi,Alternate spelling,Y,N,,Y
Pav Bhaji,Pav Bhaaji,marathi,Alternate spelling,Y,N,,Y
Misal Pav,Misal,marathi,Short form,Y,N,,Y
Paneer Tikka,Tikka Paneer,hindi,Alternate word order,Y,N,,Y
Tandoori Chicken,Tandoori Murgh,hindi,Hindi name,Y,N,,Y
Butter Chicken,Murgh Makhani,hindi,Original Hindi name,Y,N,,Y
Dal Makhani,Maa Ki Dal,punjabi,Punjabi home name,Y,N,,Y
Dal Makhani,Kaali Dal,hindi,Alternate name,Y,N,,Y
Aloo Paratha,Alu Paratha,hindi,Alternate spelling,Y,N,,Y
Sabudana Khichdi,Sago Khichdi,english,English name for tapioca,Y,N,,Y
Dhokla,Khaman,gujarati,Specific variant name,Y,N,,Y
Khandvi,Patuli,gujarati,Alternate Gujarati name,Y,N,,Y
Khandvi,Dahivadi,gujarati,Another variant name,Y,N,,Y
Shrikhand,Shrikhand,marathi,Standard,Y,N,,Y
Puran Poli,Holige,kannada,Karnataka name,Y,N,,Y
Puran Poli,Obbattu,kannada,Karnataka alternate,Y,N,,Y
Puran Poli,Bobbatlu,telugu,Andhra name,Y,N,,Y
Modak,Kozhukattai,tamil,Tamil name,Y,N,,Y
Modak,Kudumu,telugu,Telugu name,Y,N,,Y
Lassi,Chaas,gujarati,Gujarati buttermilk - thinner variant,Y,N,,Y
Litti Chokha,Litti,hindi,Short form,Y,N,,Y
Momos,Momo,nepali,Original Nepali/Tibetan,Y,N,,Y
Seekh Kebab,Seekh Kabab,urdu,Alternate spelling,Y,N,,Y
Bhaji (disambiguation),Bhaji,hindi,AMBIGUOUS: Pav Bhaji (vegetable mash) vs Bhaji/Bhajiya (fritters) vs Aloo Bhaji (potato sabzi). Context needed.,Y,N,,Y
Halwa (disambiguation),Halwa,hindi,AMBIGUOUS: Gajar Ka Halwa (carrot) vs Sooji Halwa (semolina) vs Moong Dal Halwa. Specify type.,Y,N,,Y
Biryani (disambiguation),Biryani,hindi,AMBIGUOUS: Hyderabadi vs Lucknowi vs Kolkata vs Malabar styles differ significantly.,Y,N,,Y
Parotta vs Paratha,Parotta,tamil,"DIFFERENT DISHES: South Indian Parotta (maida, layered, chewy) vs North Indian Paratha (wheat, stuffed, flaky). Not interchangeable.",Y,N,,Y
Vada (disambiguation),Vada,hindi,AMBIGUOUS: Medu Vada (urad dal) vs Batata Vada (potato) vs Masala Vada (chana dal). Specify type.,Y,N,,Y
Chutney (disambiguation),Chutney,hindi,AMBIGUOUS: Coconut Chutney vs Green Chutney vs Tamarind Chutney vs Tomato Chutney. Specify type.,Y,N,,Y
Curry (disambiguation),Curry,english,AMBIGUOUS: Generic term. Specify dish name.,Y,N,,Y
Dosa (disambiguation),Dosa,hindi,"VARIANTS: Plain Dosa, Masala Dosa, Rava Dosa, Onion Dosa, Set Dosa, Neer Dosa, Mysore Masala Dosa. Each is different.",Y,N,,Y
Italian Meatballs,polpette,english,Italian original name,Y,Y,20-05-2026,Y
Broccoli Soup,cream of broccoli,english,Full name variant,Y,Y,20-05-2026,Y
Garden Salad,green salad,english,Common alternate name,Y,Y,20-05-2026,Y
Veg Manchurian Dry,dry manchurian,english,Short form without veg prefix,Y,Y,20-05-2026,Y
Szechuan Chicken,sichuan chicken,english,Pinyin romanization spelling,Y,Y,20-05-2026,Y
Steamed Bao (Veg),baozi,english,Chinese original name,Y,Y,20-05-2026,Y
Corn Chaat,masala corn,english,Street stall name,Y,Y,20-05-2026,Y
Egg Paratha,anda paratha,hindi,Hindi name,Y,Y,20-05-2026,Y
Boiled Egg Chaat,anda chaat,hindi,Hindi name,Y,Y,20-05-2026,Y
Barfi (Kaju),kaju katli,hindi,More common name in North India,Y,Y,20-05-2026,Y
Kurkure Bhindi,crispy bhindi,english,Descriptive English name,Y,Y,20-05-2026,Y
Japanese Fried Rice,teppanyaki rice,english,Restaurant menu name,Y,Y,20-05-2026,Y
Thai Fried Rice (Chicken),khao pad,thai,Thai original name,Y,Y,20-05-2026,Y
Som Tam,papaya salad,english,English descriptive name,Y,Y,20-05-2026,Y
Thai Basil Chicken,pad krapow,thai,Thai original name,Y,Y,20-05-2026,Y
Thai Fish Cakes,tod mun pla,thai,Thai original name,Y,Y,20-05-2026,Y
Mango Sticky Rice,khao niaow ma muang,thai,Thai original name,Y,Y,20-05-2026,Y
Kimchi Fried Rice,kimchi bokkeumbap,korean,Korean original name,Y,Y,20-05-2026,Y
Korean Fried Chicken,yangnyeom chicken,korean,Korean name for sauced variant,Y,Y,20-05-2026,Y
Pho (Chicken),pho ga,vietnamese,Vietnamese name — ga means chicken,Y,Y,20-05-2026,Y
Vietnamese Spring Roll (Fresh),goi cuon,vietnamese,Vietnamese original name,Y,Y,20-05-2026,Y
Vietnamese Coffee,ca phe sua da,vietnamese,Vietnamese name — iced milk coffee,Y,Y,20-05-2026,Y
Tofu Pho,pho chay,vietnamese,Vietnamese name — chay means vegetarian,Y,Y,20-05-2026,Y
Stuffed Grape Leaves,dolma,turkish,Turkish/Arabic original name,Y,Y,20-05-2026,Y
Mexican Rice,arroz rojo,spanish,Spanish name — red rice,Y,Y,20-05-2026,Y
Khow Suey,khao soi,burmese,Burmese/Thai original spelling,Y,Y,20-05-2026,Y
Burmese Tea Leaf Salad,lahpet thoke,burmese,Burmese original name,Y,Y,20-05-2026,Y
Burmese Samosa Soup,samosa thoke,burmese,Burmese name — thoke means salad/mix,Y,Y,20-05-2026,Y
Duck Curry (Assamese),hanhi mangso,assamese,Assamese name — hanhi means duck,Y,Y,20-05-2026,Y
Axone Chutney,akhuni,naga,Naga alternate spelling,Y,Y,20-05-2026,Y
Prawn Malaikari,chingri malaikari,bengali,Bengali original name — chingri means prawn,Y,Y,20-05-2026,Y
Shikanji (Indori),nimbu pani,hindi,Generic Hindi name for lemon water,Y,Y,20-05-2026,Y
Royyala Iguru,prawn fry,english,English descriptive name,Y,Y,20-05-2026,Y
Jonna Rotte,jowar roti,hindi,Hindi equivalent name,Y,Y,20-05-2026,Y
Bajra Roti (Rajasthani),bajre ki roti,hindi,Hindi full name,Y,Y,20-05-2026,Y
Poee Bread,poi,konkani,Konkani/Goan short name,Y,Y,20-05-2026,Y
Serradura,sawdust pudding,english,English translation of Portuguese name,Y,Y,20-05-2026,Y
Tisrya Masala,clam masala,english,English name — tisrya means clams in Marathi,Y,Y,20-05-2026,Y
Dudhi Halwa,lauki halwa,hindi,Hindi alternate name — lauki/dudhi both mean bottle gourd,Y,Y,20-05-2026,Y
Gujarati Dal,toor dal gujarati,english,Descriptive full name,Y,Y,20-05-2026,Y
Upma,uppittu,kannada,Karnataka name,Y,Y,20-05-2026,Y
Pepper Chicken (Tamil),milagu chicken,tamil,Tamil name — milagu means pepper,Y,Y,20-05-2026,Y
Meen Kulambu,fish kuzhambu,english,English-Tamil hybrid name — kuzhambu means curry,Y,Y,20-05-2026,Y
